Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Couturier et al bioRxiv	10.1101/449439	Charles P. Couturier, Shamini Ayyadhury, Phuong U. Le, Jean Monlong, Gabriele Riva, Redouane Allache, Salma Baig, Xiaohua Yan, Mathieu Bourgey, Changseok Lee, Yu Chang David Wang, V. Wee Yong, Marie-Christine Guiot, Bratislav Misic, Jack Antel, Guillaume Bourque, Jiannis Ragoussis, Kevin Petrecca	bioRxiv	Single-cell RNA-seq reveals that glioblastoma recapitulates normal brain development	20181022.0	10.1101/449439	60,933	Human	Brain	Chromium			RNA-seq	Glioblastoma and fetal brain cells		Adult glioma and fetal normal brain								
Hagai et al Nature	10.1038/s41586-018-0657-2	Tzachi Hagai, Xi Chen, Ricardo J. Miragaia, Raghd Rostom, Tomás Gomes, Natalia Kunowska, Johan Henriksson, Jong-Eun Park, Valentina Proserpio, Giacomo Donati, Lara Bossini-Castillo, Felipe A. Vieira Braga, Guy Naamati, James Fletcher, Emily Stephenson, Peter Vegh, Gosia Trynka, Ivanela Kondova, Mike Dennis, Muzlifah Haniffa, Armita Nourmohammad, Michael Lässig, Sarah A. Teichmann	Nature	Gene expression variability across cells and species shapes innate immunity	20181023.0	10.1101/137992	37,553	Human, Rhesus, Rat, Mouse, Rabbit, Pig	Skin	Chromium & Smart-seq2	E-MTAB-7052		RNA-seq	Fibroblasts			2.0	No	No	No	Yes	No		
Fu et al CResearch	10.1038/s41422-018-0103-x	Gong-Bo Fu, Wei-Jian Huang, Min Zeng, Xu Zhou, Hong-Ping Wu, Chang-Cheng Liu, Han Wu, Jun Weng, Hong-Dan Zhang, Yong-Chao Cai, Charles Ashton, Min Ding, Dan Tang, Bao-Hua Zhang, Yi Gao, Wei-Feng Yu, Bo Zhai, Zhi-Ying He, Hong-Yang Wang, He-Xin Yan	Cell Res	Expansion and differentiation of human hepatocyte-derived liver progenitor-like cells and their use for the study of hepatotropic pathogens	20181025.0	-	7,459	Human		Chromium	GSE116113		RNA-seq	Hepatocytes			4.0	Yes	No	No	Yes	Yes		
Tasic et al Nature	10.1038/s41586-018-0654-5	Bosiljka Tasic, Zizhen Yao, Lucas T. Graybuck, Kimberly A. Smith, Thuc Nghi Nguyen, Darren Bertagnolli, Jeff Goldy, Emma Garren, Michael N. Economo, Sarada Viswanathan, Osnat Penn, Trygve Bakken, Vilas Menon, Jeremy Miller, Olivia Fong, Karla E. Hirokawa, Kanan Lathia, Christine Rimorin, Michael Tieu, Rachael Larsen, Tamara Casper, Eliza Barkan, Matthew Kroll, Sheana Parry, Nadiya V. Shapovalova, Daniel Hirschstein, Julie Pendergraft, Heather A. Sullivan, Tae Kyung Kim, Aaron Szafer, Nick Dee, Peter Groblewski, Ian Wickersham, Ali Cetin, Julie A. Harris, Boaz P. Levi, Susan M. Sunkin, Linda Madisen, Tanya L. Daigle, Loren Looger, Amy Bernard, John Phillips, Ed Lein, Michael Hawrylycz, Karel Svoboda, Allan R. Jones, Christof Koch, Hongkui Zeng	Nature	Shared and distinct transcriptomic cell types across neocortical areas	20181025.0		23,822	Mouse	Brain	SMARTer	GSE115746		RNA-seq	Primary visual cortex and anterior lateral motor cortex		Adult	133.0	Yes						
Dobnikar et al NCommunications	10.1038/s41467-018-06891-x	Lina Dobnikar, Annabel L. Taylor, Joel Chappell, Phoebe Oldach, Jennifer L. Harman, Erin Oerton, Elaine Dzierzak, Martin R. Bennett, Mikhail Spivakov, Helle F. Jørgensen	Nat Commun	Disease-relevant transcriptional signatures identified in individual smooth muscle cells from healthy mouse vessels	20181026.0	-	298	Mouse	Muscle	Smart-seq2	GSE117963		RNA-seq	VSMCs										
Sharma et al DBiology	10.1016/j.ydbio.2018.09.023	Sarthak Sharma, Wei Wang, Alberto Stolfi	Developmental Biology	Single-cell transcriptome profiling of the Ciona larval brain	20181028.0	10.1101/319327	2,607	Ciona	Brain	Chromium	GSE121807		RNA-seq	whole brain			16.0	Yes				Yes		
Bacon et al FImmunology	10.3389/fimmu.2018.02523	Wendi A. Bacon, Russell S. Hamilton, Ziyi Yu, Jens Kieckbusch, Delia Hawkes, Ada M. Krzak, Chris Abell, Francesco Colucci, D. Stephen Charnock-Jones	Front. Immunol.	Single-Cell Analysis Identifies Thymic Maturation Delay in Growth-Restricted Neonatal Mice	20181101.0	10.1101/372862	7,264	Mouse	Spleen	Drop-seq	E-MTAB-6945		RNA-seq	Spleen		P6	8.0	Yes	Yes	No	Yes	Yes		
Biton et al Cell	10.1016/j.cell.2018.10.008	Moshe Biton, Adam L. Haber, Noga Rogel, Grace Burgin, Semir Beyaz, Alexandra Schnell, Orr Ashenberg, Chien-Wen Su, Christopher Smillie, Karthik Shekhar, Zuojia Chen, Chuan Wu, Jose Ordovas-Montanes, David Alvarez, Rebecca H. Herbst, Mei Zhang, Itay Tirosh, Danielle Dionne, Lan T. Nguyen, Michael E. Xifaras, Alex K. Shalek, Ulrich H. von Andrian, Daniel B. Graham, Orit Rozenblatt-Rosen, Hai Ning Shi, Vijay Kuchroo, Omer H. Yilmaz, Aviv Regev, Ramnik J. Xavier	Cell	T Helper Cell Cytokines Modulate Intestinal Stem Cell Renewal and Differentiation	20181101.0	-		Mouse	Intestine	Chromium & Smart-seq2 & Div-seq	GSE106510		RNA-seq	Intestinal epithelial cells										
Jerby-Arnon et al cell	10.1016/j.cell.2018.09.006	Livnat Jerby-Arnon, Parin Shah, Michael S. Cuoco, Christopher Rodman, Mei-Ju Su, Johannes C. Melms, Rachel Leeson, Abhay Kanodia, Shaolin Mei, Jia-Ren Lin, Shu Wang, Bokang Rabasha, David Liu, Gao Zhang, Claire Margolais, Orr Ashenberg, Patrick A. Ott, Elizabeth I. Buchbinder, Rizwan Haq, F. Stephen Hodi, Genevieve M. Boland, Ryan J. Sullivan, Dennie T. Frederick, Benchun Miao, Tabea Moll, Keith T. Flaherty, Meenhard Herlyn, Russell W. Jenkins, Rohit Thummalapalli, Monika S. Kowalczyk, Israel Cañadas, Bastian Schilling, Adam N.R. Cartwright, Adrienne M. Luoma, Shruti Malu, Patrick Hwu, Chantale Bernatchez, Marie-Andrée Forget, David A. Barbie, Alex K. Shalek, Itay Tirosh, Peter K. Sorger, Kai Wucherpfennig, Eliezer M. Van Allen, Dirk Schadendorf, Bruce E. Johnson, Asaf Rotem, Orit Rozenblatt-Rosen, Levi A. Garraway, Charles H. Yoon, Benjamin Izar, Aviv Regev	Cell	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	20181101.0	-	7,187	Human		Chromium & Smart-seq2	GSE115978		RNA-seq				15.0							
Sade-Feldman et al Cell	10.1016/j.cell.2018.10.038	Moshe Sade-Feldman, Keren Yizhak, Stacey L. Bjorgaard, John P. Ray, Carl G. de Boer, Russell W. Jenkins, David J. Lieb, Jonathan H. Chen, Dennie T. Frederick, Michal Barzily-Rokni, Samuel S. Freeman, Alexandre Reuben, Paul J. Hoover, Alexandra-Chloé Villani, Elena Ivanova, Andrew Portell, Patrick H. Lizotte, Amir R. Aref, Jean-Pierre Eliane, Marc R. Hammond, Hans Vitzthum, Shauna M. Blackmon, Bo Li, Vancheswaran Gopalakrishnan, Sangeetha M. Reddy, Zachary A. Cooper, Cloud P. Paweletz, David A. Barbie, Anat Stemmer-Rachamimov, Keith T. Flaherty, Jennifer A. Wargo, Genevieve M. Boland, Ryan J. Sullivan, Gad Getz, Nir Hacohen	Cell	Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma	20181101.0	-	16,291	Human		Smart-seq2	GSE120575		RNA-seq	CD45 cells										
Moffitt et al Science	10.1126/science.aau5324	Jeffrey R. Moffitt, Dhananjay Bambah-Mukku, Stephen W. Eichhorn, Eric Vaughn, Karthik Shekhar, Julio D. Perez, Nimrod D. Rubinstein, Junjie Hao, Aviv Regev, Catherine Dulac, Xiaowei Zhuang	Science	Molecular, spatial, and functional single-cell profiling of the hypothalamic preoptic region	20181101.0	-	1,027,848	Mouse	Brain	Chromium & MERFISH		135	In Situ	Hypothalamus		Adult							gs://h5ad/2018-11-Moffitt-et-al-Science	
Uniken Venema et al Gastroenterology	10.1053/j.gastro.2018.10.046	Werna T. Uniken Venema, Michiel D. Voskuil, Arnau Vich Vila, Gerben van der Vries, Bernadien H. Jansen, Bana Jabri, Klaas Nico Faber, Gerard Dijkstra, Ramnik J. Xavier, Cisca Wijmenga, Daniel B. Graham, Rinse K. Weersma, Eleonora A. Festen	Gastroenterology	Single-Cell RNA Sequencing of Blood and Ileal T Cells From Patients With Crohn's Disease Reveals Tissue-Specific Characteristics and Drug Targets	20181102.0		5,292	Human	Blood, Colon	Smart-seq2	EGAD00010001649		RNA-seq	CD3+ cells										
Grive et al PLOSGenetics	10.1101/464149	Kathryn J. Grive, Yang Hu, Eileen Shu, Andrew Grimson, Olivier Elemento, Jennifer K. Grenier, Paula E. Cohen	bioRxiv	Dynamic transcriptome profiles within spermatogonial and spermatocyte populations during postnatal testis maturation revealed by single-cell sequencing	20181106.0	10.1101/464149	15,493	Mouse	Testis	Chromium	GSE121904		RNA-seq	Testes			8.0	Yes				Yes		
Kumar et al CReports	10.1016/j.celrep.2018.10.047	Manu P. Kumar, Jinyan Du, Georgia Lagoudas, Yang Jiao, Andrew Sawyer, Daryl C. Drummond, Douglas A. Lauffenburger, Andreas Raue	Cell Reports	Analysis of Single-Cell RNA-Seq Identifies Cell-Cell Communication Associated with Tumor Characteristics	20181106.0		10,473	Mouse	Tumor	Chromium			RNA-seq	syngenic tumor models										
Hermann et al CReports	10.1016/j.celrep.2018.10.026	Brian P. Hermann, Keren Cheng, Anukriti Singh, Lorena Roa-De La Cruz, Kazadi N. Mutoji, I-Chung Chen, Heidi Gildersleeve, Jake D. Lehle, Max Mayo, Birgit Westernströer, Nathan C. Law, Melissa J. Oatley, Ellen K. Velte, Bryan A. Niedenberger, Danielle Fritze, Sherman Silber, Christopher B. Geyer, Jon M. Oatley, John R. McCarrey	Cell Reports	The Mammalian Spermatogenesis Single-Cell Transcriptome, from Spermatogonial Stem Cells to Spermatids	20181106.0	-	62,000	Human, Mouse		Chromium & SMARTer (C1)	GSE109033		RNA-seq	Spermatogenic cells			33.0	Yes	Yes	No	Yes	Yes		
Vento-Tormo et al Nature	10.1038/s41586-018-0698-6	Roser Vento-Tormo, Mirjana Efremova, Rachel A. Botting, Margherita Y. Turco, Miquel Vento-Tormo, Kerstin B. Meyer, Jong-Eun Park, Emily Stephenson, Krzysztof Polański, Angela Goncalves, Lucy Gardner, Staffan Holmqvist, Johan Henriksson, Angela Zou, Andrew M. Sharkey, Ben Millar, Barbara Innes, Laura Wood, Anna Wilbrey-Clark, Rebecca P. Payne, Martin A. Ivarsson, Steve Lisgo, Andrew Filby, David H. Rowitch, Judith N. Bulmer, Gavin J. Wright, Michael J. T. Stubbington, Muzlifah Haniffa, Ashley Moffett, Sarah A. Teichmann	Nature	Single-cell reconstruction of the early maternal–fetal interface in humans	20181108.0	-	70,000	Human		Chromium & Smart-seq2	E-MTAB-6701		RNA-seq	maternal-fetal interface			38.0	Yes	Yes	No	Yes	No		
Boroviak et al Development	10.1242/dev.167833	Thorsten Boroviak, Giuliano G. Stirparo, Sabine Dietmann, Irene Hernando-Herraez, Hisham Mohammed, Wolf Reik, Austin Smith, Erika Sasaki, Jennifer Nichols, Paul Bertone	Development	Single cell transcriptome analysis of human, marmoset and mouse embryos reveals common and divergent features of preimplantation development	20181109.0	10.1101/385815	196	Marmoset	Embryo	Smart-seq2	E-MTAB-7078		RNA-seq	Preimplantation embryos			7.0	Yes	Yes	No	Yes	No		
Davidson et al bioRxiv	10.1101/467225	Sarah Davidson, Mirjana Efremova, Angela Riedel, Bidesh Mahata, Jhuma Pramanik, Jani Huuhtanen, Gozde Kar, Roser Vento-Tormo, Tzachi Hagai, Xi Chen, Muzlifah A. Haniffa, Jacqueline D. Shields, Sarah A. Teichmann	bioRxiv	Single-cell RNA sequencing reveals a dynamic stromal niche within the evolving tumour microenvironment	20181112.0	10.1101/467225	6,398	Mouse	Tumor	Chromium & Smart-seq2	E-MTAB-7427		RNA-seq	Tumor microenvironment			26.0	Yes	Yes			Yes		
Parekh et al CSystems	10.1016/j.cels.2018.10.008	Udit Parekh, Yan Wu, Dongxin Zhao, Atharv Worlikar, Neha Shah, Kun Zhang, Prashant Mali	Cell Systems	Mapping Cellular Reprogramming via Pooled Overexpression Screens with Paired Fitness and Single-Cell RNA-Sequencing Readout	20181114.0	-	35,000	Human	Culture	Chromium	GSE107185		RNA-seq	hPSC			8.0	Yes	No	No	Yes	Yes		
Singh et al SReports	10.1038/s41598-018-35218-5	Sumeet Pal Singh, Sharan Janjuha, Samata Chaudhuri, Susanne Reinhardt, Annekathrin Kränkel, Sevina Dietz, Anne Eugster, Halil Bilgin, Selçuk Korkmaz, Gökmen Zararsız, Nikolay Ninov, John E. Reid	Sci Rep	Machine learning based classification of cells into chronological stages using single-cell transcriptomics	20181115.0	10.1101/303214	827	Zebrafish		Smart-seq2	GSE109881		RNA-seq	Beta cells										
Ho Lim et al NCommunications	10.1038/s41467-018-07142-9	Chae Ho Lim, Qi Sun, Karan Ratti, Soung-Hoon Lee, Ying Zheng, Makoto Takeo, Wendy Lee, Piul Rabbani, Maksim V. Plikus, Jason E. Cain, David H. Wang, D. Neil Watkins, Sarah Millar, M. Mark Taketo, Peggy Myung, George Cotsarelis, Mayumi Ito	Nat Commun	Hedgehog stimulates hair follicle neogenesis by creating inductive dermis during murine skin wound healing	20181115.0	-	4,680	Mouse	Skin	Chromium	GSE112671		RNA-seq	Hair follicle			5.0	Yes	No	No	No	Yes		
Wu et al CSC	10.1016/j.stem.2018.10.010	Haojia Wu, Kohei Uchimura, Erinn L. Donnelly, Yuhei Kirita, Samantha A. Morris, Benjamin D. Humphreys	Cell Stem Cell	Comparative Analysis and Refinement of Human PSC-Derived Kidney Organoid Differentiation with Single-Cell Transcriptomics	20181115.0	-	83,130	Human	Organoid	Chromium & Drop-seq	GSE118184		RNA-seq	Kidney organoids	Fetal, Adult									
Sharma et al NCommunications	10.1038/s41467-018-07261-3	Ankur Sharma, Elaine Yiqun Cao, Vibhor Kumar, Xiaoqian Zhang, Hui Sun Leong, Angeline Mei Lin Wong, Neeraja Ramakrishnan, Muhammad Hakimullah, Hui Min Vivian Teo, Fui Teen Chong, Shumei Chia, Matan Thangavelu Thangavelu, Xue Lin Kwang, Ruta Gupta, Jonathan R. Clark, Giridharan Periyasamy, N. Gopalakrishna Iyer, Ramanuj DasGupta	Nat Commun	Longitudinal single-cell RNA sequencing of patient-derived primary cells reveals drug-induced infidelity in stem cell hierarchy	20181116.0		1,302	Human	Tumor	SMARTer (C1)	GSE117872 		RNA-seq	Oral cancer OSCC	sensitive vs drug-resistent									
Hernandez et al SImmunology	10.1126/sciimmunol.aau5265	Pedro P. Hernández, Paulina M. Strzelecka, Emmanouil I. Athanasiadis, Dominic Hall, Ana F. Robalo, Catherine M. Collins, Pierre Boudinot, Jean-Pierre Levraud, Ana Cvejic	Sci. Immunol.	Single-cell transcriptional analysis reveals ILC-like cells in zebrafish	20181116.0	-	10,867	Zebrafish	Kidney, Guts	Chromium & Smart-seq2	E-MTAB-7117		RNA-seq	Kidney, Guts			12.0	Yes	No	No	Yes	Yes		
Zhu et al CReports	10.1016/j.celrep.2018.10.093	Detu Zhu, Zuxianglan Zhao, Guimei Cui, Shiehong Chang, Lingling Hu, Yi Xiang See, Michelle Gek Liang Lim, Dajiang Guo, Xin Chen, Barun Poudel, Paul Robson, Yumei Luo, Edwin Cheung	Cell Reports	Single-Cell Transcriptome Analysis Reveals Estrogen Signaling Coordinately Augments One-Carbon, Polyamine, and Purine Synthesis in Breast Cancer	20181120.0	10.1101/246363	189	Human		SMARTer (C1)	GSE107864		RNA-seq											
Hammond et al Immunity	10.1016/j.immuni.2018.11.004	Timothy R. Hammond, Connor Dufort, Lasse Dissing-Olesen, Stefanie Giera, Adam Young, Alec Wysoker, Alec J. Walker, Frederick Gergits, Michael Segel, James Nemesh, Samuel E. Marsh, Arpiar Saunders, Evan Macosko, Florent Ginhoux, Jinmiao Chen, Robin J.M. Franklin, Xianhua Piao, Steven A. McCarroll, Beth Stevens	Immunity	Single-Cell RNA Sequencing of Microglia throughout the Mouse Lifespan and in the Injured Brain Reveals Complex Cell-State Changes	20181121.0	10.1101/406140	76,149	Mouse	Brain	Chromium	GSE121654		RNA-seq	Microglia from wholee brain	Age, Sex, Injury	E14.5, P4, P30, P540	10.0	Yes	No	No	No	Yes		
Zhang et al MCell	10.1016/j.molcel.2018.10.020	Xiannian Zhang, Tianqi Li, Feng Liu, Yaqi Chen, Jiacheng Yao, Zeyao Li, Yanyi Huang, Jianbin Wang	Molecular Cell	Comparative Analysis of Droplet-Based Ultra-High-Throughput Single-Cell RNA-Seq Systems	20181121.0	10.1101/313130	16,732	Human	Culture	InDrops & Drop-seq & Chromium	GSE111912		RNA-seq	GM12891 lymphoblastoid cell line	Technical platform			No	No	No	Yes	Yes		
Hinohara et al CCell	10.1016/j.ccell.2018.10.014	Kunihiko Hinohara, Hua-Jun Wu, Sébastien Vigneau, Thomas O. McDonald, Kyomi J. Igarashi, Kimiyo N. Yamamoto, Thomas Madsen, Anne Fassl, Shawn B. Egri, Malvina Papanastasiou, Lina Ding, Guillermo Peluffo, Ofir Cohen, Stephen C. Kales, Madhu Lal-Nag, Ganesha Rai, David J. Maloney, Ajit Jadhav, Anton Simeonov, Nikhil Wagle, Myles Brown, Alexander Meissner, Piotr Sicinski, Jacob D. Jaffe, Rinath Jeselsohn, Alexander A. Gimelbrant, Franziska Michor, Kornelia Polyak	Cancer Cell	KDM5 Histone Demethylase Activity Links Cellular Transcriptomic Heterogeneity to Therapeutic Resistance	20181121.0	-	29,954	Human	Breast	InDrops	GSE104987		RNA-seq	Breast cancer					No	No	No	Yes		
Jones et al CSC	10.1016/j.stem.2018.10.015	Kyle B. Jones, Sachiko Furukawa, Pauline Marangoni, Hongfang Ma, Henry Pinkard, Rebecca D’Urso, Rapolas Zilionis, Allon M. Klein, Ophir D. Klein	Cell Stem Cell	Quantitative Clonal Analysis and Single-Cell Transcriptomics Reveal Division Kinetics, Hierarchy, and Fate of Oral Epithelial Progenitor Cells	20181121.0	-	17,296	Mouse	Mouth	Chromium	GSE120654		RNA-seq	Oral epithelial progenitors			8.0	Yes	Yes	No	No	No		
Xin et al NCommunications	10.1038/s41467-018-07492-4	Gang Xin, Ryan Zander, David M. Schauder, Yao Chen, Jason S. Weinstein, William R. Drobyski, Vera Tarakanova, Joseph Craft, Weiguo Cui	Nat Commun	Single-cell RNA sequencing unveils an IL-10-producing helper subset that sustains humoral immunity during persistent infection	20181122.0	-	691	Mouse		Chromium	GSE111026		RNA-seq	CD4 T cells			8.0	Yes	No	No	Yes	Yes		
Zywitza et al CReports	10.1016/j.celrep.2018.11.003	Vera Zywitza, Aristotelis Misios, Lena Bunatyan, Thomas E. Willnow, Nikolaus Rajewsky	Cell Reports	Single-Cell Transcriptomics Characterizes Cell Types in the Subventricular Zone and Uncovers Molecular Defects Impairing Adult Neurogenesis	20181127.0	10.1101/365619	9,804	Mouse	Brain	Drop-seq	GSE111527		RNA-seq	Subventricular Zone			17.0	Yes				Yes		
Bartoschek et al NCommunications	10.1038/s41467-018-07582-3	Michael Bartoschek, Nikolay Oskolkov, Matteo Bocci, John Lövrot, Christer Larsson, Mikael Sommarin, Chris D. Madsen, David Lindgren, Gyula Pekar, Göran Karlsson, Markus Ringnér, Jonas Bergh, Åsa Björklund, Kristian Pietras	Nat Commun	Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing	20181128.0		768	Mouse	Tumor	Smart-seq2	GSE111229		RNA-seq	Breast cancer										
Leigh et al NCommunications	10.1038/s41467-018-07604-0	Nicholas D. Leigh, Garrett S. Dunlap, Kimberly Johnson, Rachelle Mariano, Rachel Oshiro, Alan Y. Wong, Donald M. Bryant, Bess M. Miller, Alex Ratner, Andy Chen, William W. Ye, Brian J. Haas, Jessica L. Whited	Nat Commun	Transcriptomic landscape of the blastema niche in regenerating adult axolotl limbs at single-cell resolution	20181128.0		25,000	Axolotl	intact limb and regenerating limb blastema	InDrops	GSE121737		RNA-seq					Yes	Yes			Yes		
Lang et al CSC	10.1016/j.stem.2018.10.023	Charmaine Lang, Kieran R. Campbell, Brent J. Ryan, Phillippa Carling, Moustafa Attar, Jane Vowles, Olga V. Perestenko, Rory Bowden, Fahd Baig, Meike Kasten, Michele T. Hu, Sally A. Cowley, Caleb Webber, Richard Wade-Martins	Cell Stem Cell	Single-Cell Sequencing of iPSC-Dopamine Neurons Reconstructs Disease Progression and Identifies HDAC4 as a Regulator of Parkinson Cell Phenotypes	20181129.0	-	146	Human	Culture	Smart-seq2	E-MTAB-7303		RNA-seq	iPSC dopaminergic neurons	PD patient and control			No	Yes	No	Yes	No		
Wu et al JASN	10.1681/ASN.2018090912	Haojia Wu, Yuhei Kirita, Erinn L. Donnelly, Benjamin D. Humphreys	JASN	Advantages of Single-Nucleus over Single-Cell RNA Sequencing of Adult Kidney: Rare Cell Types and Novel Cell States Revealed in Fibrosis	20181203.0	-	11,391	Mouse		sNuc-Drop-seq & DroNc-seq & Chromium & Drop-seq	GSE119531		RNA-seq											
Biddy et al Nature	10.1038/s41586-018-0744-4	Brent A. Biddy, Wenjun Kong, Kenji Kamimoto, Chuner Guo, Sarah E. Waye, Tao Sun, Samantha A. Morris	Nature	Single-cell mapping of lineage and identity in direct reprogramming	20181204.0	10.1101/127860	104,887	Mouse	Culture	Drop-seq & Chromium	GSE99915		RNA-seq	MEFs, iEPs			10.0							
Gomes et al CReports	10.1016/j.celrep.2018.11.032	Andreia M. Gomes, Ilia Kurochkin, Betty Chang, Michael Daniel, Kenneth Law, Namita Satija, Alexander Lachmann, Zichen Wang, Lino Ferreira, Avi Ma’ayan, Benjamin K. Chen, Dmitri Papatsenko, Ihor R. Lemischka, Kateri A. Moore, Carlos-Filipe Pereira	Cell Reports	Cooperative Transcription Factor Induction Mediates Hemogenic Reprogramming	20181204.0	-	286	Human	fibroblasts	SMARTer (C1)			RNA-seq					No	No	No	Yes	No		
Tepe et al CReports	10.1016/j.celrep.2018.11.034	Burak Tepe, Matthew C. Hill, Brandon T. Pekarek, Patrick J. Hunt, Thomas J. Martin, James F. Martin, Benjamin R. Arenkiel	Cell Reports	Single-Cell RNA-Seq of Mouse Olfactory Bulb Reveals Cellular Heterogeneity and Activity-Dependent Molecular Census of Adult-Born Neurons	20181204.0	-	52,246	Mouse	Brain	Chromium	GSE121891		RNA-seq	Olfactory bulb			38.0	Yes	Yes	No	Yes	Yes		
Oetjen et al JCIinsight	10.1172/jci.insight.124928	Karolyn A. Oetjen, Katherine E. Lindblad, Meghali Goswami, Gege Gui, Pradeep K. Dagur, Catherine Lai, Laura W. Dillon, J. Philip McCoy, Christopher S. Hourigan	JCI Insight	Human bone marrow assessment by single-cell RNA sequencing, mass cytometry, and flow cytometry	20181205.0	10.1101/416750	76,000	Human	Bone marrow	Chromium	GSE120221, GSE120446		RNA-seq	BMMCs			20.0							
